loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
662,0,Graduate,No,946470,8568899,4,418,12578831,4759575,4884422,8319666,Rejected
663,0,Not Graduate,Yes,9737772,4122610,10,769,4017291,15170565,8208689,8177713,Approved
664,4,Not Graduate,Yes,7268566,1839528,2,769,6992859,1895584,11916529,7874395,Approved
665,3,Graduate,No,2118517,4874598,8,792,28592365,12464555,23282545,1717808,Approved
666,3,Not Graduate,No,3659544,27258173,16,799,16189675,5236880,19747746,11396906,Approved
667,5,Graduate,No,7472268,25894380,2,369,27578587,674698,32913824,10635054,Rejected
668,3,Graduate,Yes,3030095,28723834,10,669,13337844,5905627,28775488,4982375,Rejected
669,2,Not Graduate,Yes,3629985,27949662,8,480,22666255,16210564,19616486,13711115,Rejected
670,4,Not Graduate,Yes,1511414,17098379,12,304,17800943,1205823,22407017,11372412,Approved
671,3,Graduate,Yes,4385727,6186540,14,496,10337813,7370827,11867495,5805872,Rejected
672,5,Graduate,No,8604196,18774894,18,346,27437899,3647106,25179413,401913,Rejected
673,2,Not Graduate,No,3014268,28537165,2,851,9115553,1441640,24874431,5666973,Approved
674,1,Graduate,No,9045909,27465047,20,439,25882550,4969985,14390646,5992471,Rejected
675,1,Not Graduate,No,7258175,3750824,8,839,27312279,19416321,16198008,6731428,Approved
676,2,Graduate,Yes,4217763,25376396,12,726,7634300,19343976,4406358,13748259,Approved
677,5,Graduate,No,8131827,10724757,20,888,4657357,2980220,8568691,7160023,Approved
678,2,Not Graduate,No,8635969,6132419,14,860,17240202,14527311,32396496,2520478,Approved
679,4,Not Graduate,Yes,7336735,6477844,14,609,8830184,15269341,36839795,11842167,Approved
680,4,Not Graduate,Yes,8432823,27982983,16,573,27117030,4744376,14671801,4720234,Rejected
681,1,Not Graduate,No,2439665,16470946,20,838,28052860,12370222,2026380,916861,Approved
682,3,Not Graduate,Yes,6563395,22934145,16,689,24835723,839843,21907915,2656463,Approved
683,5,Not Graduate,No,3623604,15902898,16,758,8062492,1169027,33430064,1674703,Approved
684,1,Not Graduate,Yes,6284556,21908027,16,660,5828776,15982580,20086129,3444107,Approved
685,3,Graduate,Yes,2044348,14382774,16,368,6868965,13442455,1197418,8879511,Rejected
686,3,Graduate,No,959848,26074887,12,882,2820939,5612753,38451916,11134988,Approved
687,4,Graduate,Yes,7300282,4941712,18,730,511731,5748836,21004011,13477020,Approved
688,0,Not Graduate,No,9997885,23678472,6,331,14099945,14708157,34525858,14626051,Approved
689,0,Not Graduate,Yes,1792023,501099,12,812,24474088,8658906,26167493,14339764,Approved
690,2,Not Graduate,Yes,8710974,4182940,10,481,17685675,18849783,20998274,12673285,Rejected
691,4,Graduate,Yes,2493316,8010541,16,547,14531712,5920304,14996106,8636580,Approved
692,3,Not Graduate,Yes,9381252,18074061,8,596,8744127,8116591,7704135,11564639,Rejected
693,5,Not Graduate,Yes,1739152,2087214,8,329,6734913,6515950,32123235,7875428,Rejected
694,0,Graduate,No,1023837,7808098,20,601,7001074,8752418,30816981,3836212,Approved
695,3,Not Graduate,Yes,8981384,23202222,20,775,20841920,10136413,32009495,14373880,Approved
696,0,Graduate,No,556440,8765394,10,651,19189727,5826839,8824878,10938345,Approved
697,0,Graduate,Yes,1041618,20960887,12,781,8978383,1048018,18063228,12039026,Approved
698,0,Not Graduate,No,9550351,21038227,8,616,7001007,9890107,4406692,13338431,Approved
699,5,Not Graduate,Yes,6191233,11216141,4,696,14631249,10602460,19308102,6355249,Approved
700,4,Not Graduate,No,4929124,25683623,4,388,21750545,12608303,5374535,5752025,Rejected
701,5,Graduate,No,1235340,13992676,6,533,6684726,2781334,23939303,8486913,Rejected
702,1,Graduate,Yes,8566126,20641117,4,467,23843513,18949416,30302335,6908815,Rejected
703,3,Graduate,Yes,303021,21675346,2,425,21818252,19480261,14913667,530158,Rejected
704,4,Not Graduate,Yes,7281159,21395678,16,872,13044693,10862463,4479296,7835447,Approved
705,4,Not Graduate,No,2211562,3003107,10,419,19759435,7334174,31555903,6090916,Rejected
706,4,Not Graduate,No,8588817,29832557,20,727,4421512,7912340,27505482,356382,Rejected
707,4,Not Graduate,Yes,8810679,7117359,2,489,24240797,1138119,5275870,3258708,Rejected
708,5,Graduate,Yes,4006627,4384933,18,727,24417192,1054613,1724483,11546261,Approved
709,4,Graduate,No,3103561,6378262,16,859,4236925,11191427,13623425,2633727,Approved
710,2,Graduate,No,5673024,12142040,8,501,10244780,13908098,20468304,6744936,Rejected
711,3,Graduate,Yes,416194,2536126,16,358,9732239,18839415,27160959,8927830,Rejected
712,4,Not Graduate,No,2654082,26622082,20,522,9573339,414809,14886241,1810212,Rejected
713,3,Not Graduate,Yes,6674467,10895214,14,791,15866121,575985,14981928,6934116,Approved
714,2,Not Graduate,Yes,7165410,15708476,14,310,28927261,6263672,32014853,3989785,Rejected
715,2,Graduate,Yes,3797326,1263842,2,811,22086127,17893646,13640757,5201736,Approved
716,3,Graduate,No,8596007,5531242,12,609,15896607,3126663,34255234,2205320,Approved
717,0,Not Graduate,No,5957122,4741154,8,333,28248728,2646754,34539558,10291713,Rejected
718,1,Not Graduate,No,5057162,2996283,20,639,444705,17725171,11793033,11369977,Approved
719,0,Graduate,No,6332138,13962729,20,780,23975550,5051699,19649987,10197459,Rejected
720,0,Not Graduate,Yes,6864677,16498255,20,873,20817883,9081339,36343240,361496,Approved
721,5,Graduate,No,1234023,4373487,4,392,21196703,13787190,19930420,3875455,Rejected
722,0,Graduate,Yes,8377088,25326106,20,432,1181784,16548739,3963762,5338718,Rejected
723,4,Graduate,Yes,8982153,27421225,14,718,27380498,15753739,26055776,1623525,Approved
724,5,Not Graduate,Yes,500763,5905344,18,767,19808202,6388626,9155907,9435123,Approved
725,5,Not Graduate,No,9644216,29992579,10,743,11004466,11485646,33659662,3591346,Approved
726,2,Graduate,Yes,4049182,17001060,16,329,4987675,5457373,24322649,2725487,Rejected
727,0,Not Graduate,Yes,1764458,6758187,10,597,19415338,9606354,11238153,12961571,Rejected
728,2,Graduate,No,8119584,2531275,14,360,15531373,3828961,14776199,2397439,Rejected
729,3,Graduate,Yes,4442154,6994604,14,757,21085560,11164678,18386643,9166705,Approved
730,1,Graduate,No,1777586,13883703,18,603,17801766,12089142,8766757,7656100,Approved
731,5,Graduate,No,4674220,27337803,6,639,27795566,15787812,22564662,13875487,Approved
732,3,Not Graduate,No,8936857,20814296,2,747,4068349,19611859,8585161,4358869,Approved
733,3,Graduate,Yes,1186275,23154175,4,601,8834750,3370058,38644663,12079973,Approved
734,4,Graduate,No,1610124,25260079,12,839,1384055,9421553,35246611,3033176,Approved
735,1,Not Graduate,No,2732000,16435839,20,784,27449046,12303473,37079568,14593389,Approved
736,3,Graduate,No,3594020,19798796,20,376,4984632,9309862,22270143,6884179,Rejected
737,3,Graduate,No,1010586,7844996,18,814,3397735,11153001,32206384,1533840,Approved
738,1,Not Graduate,Yes,7953302,23524887,6,848,16624081,18762902,33728874,9371057,Approved
739,1,Not Graduate,No,1799826,16827395,20,391,10501677,16344941,1552355,447455,Rejected
740,3,Not Graduate,Yes,1548483,14827316,4,765,16793020,8548435,26300790,12435604,Approved
741,1,Graduate,No,9747474,7300622,2,765,29658682,9462995,20358580,4379945,Approved
742,3,Not Graduate,Yes,1181598,4750699,4,898,16782868,6742794,28818869,5519030,Rejected
743,3,Not Graduate,No,4242974,16752594,6,339,14366623,17362700,31433151,532759,Rejected
744,4,Graduate,Yes,9394504,24270004,14,628,25317201,12994472,36276957,1541394,Approved
745,0,Graduate,No,9548148,6179547,4,584,29435075,8409264,31490107,12567793,Rejected
746,3,Graduate,Yes,9329773,15132754,10,853,12227485,18934942,26733862,10249571,Approved
747,2,Graduate,Yes,8620149,10978996,4,365,29075611,19551540,35515621,8956755,Rejected
748,5,Graduate,Yes,9064367,26178058,14,408,7836993,3252469,21713661,13127167,Rejected
749,0,Not Graduate,No,3044510,16039965,20,714,19609268,15300412,12750425,5805902,Approved
750,0,Not Graduate,Yes,4523492,4276116,16,391,17825514,3152888,7100877,3712869,Rejected
751,0,Not Graduate,Yes,408150,12681960,16,667,2680448,13130793,3397933,12543161,Approved
752,4,Graduate,Yes,2773338,3124320,16,722,23845230,18267091,11046475,5026917,Approved
753,3,Graduate,Yes,2058777,16157419,20,871,22833259,11030426,27928776,13571842,Approved
754,4,Graduate,No,6710529,11395417,18,539,14638711,18489643,32119144,11798920,Rejected
755,3,Not Graduate,Yes,680620,2396397,2,734,9419601,7143388,14777121,3660874,Approved
756,4,Not Graduate,Yes,5135500,18425056,2,511,19024925,18678660,38089593,6703204,Rejected
757,4,Graduate,Yes,5063099,9622517,20,699,27867844,7506405,20129451,2986846,Approved
758,5,Not Graduate,No,5119314,29107137,4,825,384618,12222388,26718317,1946221,Approved
759,2,Graduate,Yes,7193152,29733079,12,767,839316,15374771,33872030,10609889,Approved
760,4,Not Graduate,Yes,6396519,1100778,2,469,22306354,16391595,31011950,7899282,Rejected
761,5,Not Graduate,Yes,1322207,15835042,10,509,16421141,18938738,31375810,10384222,Rejected
762,1,Not Graduate,Yes,9412949,15833161,10,555,28728992,7967596,9483630,6671698,Rejected
763,2,Graduate,No,2890927,11360933,8,372,6206023,3404469,16906386,13021604,Rejected
764,4,Not Graduate,Yes,3236124,3098277,10,446,17379286,2435562,34172972,11890510,Rejected
765,0,Not Graduate,Yes,627557,25782067,2,639,5712751,1053858,23612470,815171,Approved
766,1,Graduate,No,2365456,7288884,12,616,12684089,15611437,15688510,11028803,Approved
767,1,Not Graduate,No,565750,22615969,14,874,14256537,4704711,1147581,9442385,Approved
768,5,Graduate,No,7717618,25805177,16,453,28645706,7355483,29524897,3832919,Rejected
769,1,Graduate,Yes,7967227,6739070,4,554,22388698,5997895,36597930,6460594,Approved
770,2,Graduate,No,684103,18988793,14,650,13135826,13155268,21021628,8511667,Approved
771,4,Graduate,Yes,2352259,2996695,12,846,15096983,1644590,9308469,5515829,Approved
772,4,Graduate,No,3590919,22291967,18,611,809226,10302318,23986077,516104,Approved
773,0,Not Graduate,Yes,6841497,6969001,16,433,5494062,8242426,10069224,783758,Rejected
774,5,Graduate,No,7612609,20933366,8,428,18951335,1471481,39565256,7176285,Rejected
775,0,Graduate,Yes,7231119,6059417,18,735,18019581,8745279,3538885,14397643,Approved
776,1,Graduate,No,4655237,18840037,2,579,28888621,16296715,35199593,9099619,Rejected
777,0,Graduate,Yes,6071348,19317558,12,657,23811209,427531,4111950,4640098,Approved
778,2,Not Graduate,Yes,2579220,22653200,16,551,23099046,7634211,11902117,177156,Rejected
779,4,Graduate,Yes,3719065,5813949,8,434,25032113,15239196,6586096,10132984,Rejected
780,1,Not Graduate,Yes,7160698,25267999,4,822,1221291,17086036,32714179,13236432,Approved
781,0,Graduate,Yes,1984210,26587885,4,618,24475217,17089274,24704423,5600986,Approved
782,5,Not Graduate,Yes,5398363,19824708,20,379,13539324,3801823,35611163,8593940,Rejected
783,2,Graduate,Yes,7541127,12315350,2,490,16159284,11841104,13021676,6454086,Rejected
784,2,Graduate,Yes,2663501,28865663,10,752,28209299,13162946,8935543,988454,Approved
785,0,Not Graduate,No,9617327,28995536,12,643,23490682,16061048,1465933,211558,Approved
786,4,Graduate,Yes,3019127,2386113,8,329,22591659,18648721,25624081,5317200,Rejected
787,0,Not Graduate,Yes,6979865,16046856,8,713,16821747,14369844,36883551,5049592,Approved
788,1,Graduate,No,5226014,13028171,10,667,7086808,6260518,31012429,527790,Rejected
789,0,Not Graduate,Yes,2132919,27655314,10,895,18646249,15705962,14673655,6846374,Approved
790,2,Graduate,No,6450674,13110965,18,801,700296,17318561,28086953,9759822,Approved
791,0,Graduate,Yes,7820520,3707838,16,320,16040374,2635872,12048652,1344787,Rejected
792,4,Not Graduate,No,8851964,11718694,18,848,29725373,16314416,39242675,8552291,Approved
793,5,Graduate,No,8184705,28776244,6,545,913422,4450343,14111919,6465537,Rejected
794,3,Graduate,Yes,9715968,24892335,6,582,27858393,8504472,23199981,14750229,Approved
795,0,Graduate,No,8931896,658867,2,531,3314942,7019048,33797666,6818380,Rejected
796,4,Graduate,Yes,2202507,22216650,20,615,9833939,13128449,16932669,1811723,Approved
797,4,Graduate,Yes,2852808,2869067,12,635,26244823,2210498,14284250,5019145,Approved
798,5,Graduate,Yes,4977376,16668366,8,710,21167785,2013748,8208613,12509746,Approved
799,2,Not Graduate,Yes,9998972,6965521,16,544,25185842,11355634,17524034,3692944,Approved
800,4,Not Graduate,No,7566829,22519218,4,686,4550450,1038617,21683769,10976212,Approved
801,4,Not Graduate,Yes,1558293,16917967,4,657,20038902,7183669,37130050,7579525,Approved
802,4,Graduate,No,2111128,18126463,14,321,16869276,8227890,35452440,6861882,Rejected
803,4,Not Graduate,No,4956497,22228846,10,318,4121946,18461166,15648900,1834532,Rejected
804,1,Graduate,Yes,5333381,28485732,2,586,15508043,11814513,28633276,2120084,Rejected
805,1,Graduate,Yes,3986065,23931946,14,575,16024968,11800886,35447294,8675291,Rejected
806,2,Graduate,Yes,5048243,29664878,14,851,11328412,12677450,38286721,6085017,Approved
807,0,Graduate,Yes,2625358,3279249,20,371,11177050,1504139,23451137,13531884,Rejected
808,4,Not Graduate,No,7845639,27898828,12,664,17975679,728487,34456675,6897373,Approved
809,5,Graduate,Yes,4117430,25895267,8,634,7702515,7398359,19770120,7382234,Approved
810,0,Not Graduate,No,9263110,1088144,16,889,29570211,12379862,1288957,7161741,Approved
811,5,Graduate,Yes,2305777,6811971,4,498,5131264,11898612,9627245,10249431,Rejected
812,0,Not Graduate,Yes,5744223,9528143,4,316,6215951,5587509,27852618,14373245,Rejected
813,2,Not Graduate,Yes,2590514,5784054,4,517,23251296,19799523,28801150,6336718,Rejected
814,4,Not Graduate,Yes,6142712,19161518,6,446,22975788,5340076,1828475,13378127,Rejected
815,4,Not Graduate,No,1371758,16235277,12,509,22488733,8496004,9170360,8159529,Rejected
816,3,Not Graduate,No,5476085,28762443,2,713,28989410,1058946,23685234,3654719,Approved
817,5,Not Graduate,Yes,7649116,17674850,4,629,10607403,399993,10298774,2133600,Rejected
818,0,Graduate,No,7385180,17248767,20,651,22180348,1704049,16642549,12389052,Rejected
819,0,Not Graduate,No,1142639,27274089,4,462,21065302,10879507,37999318,1448742,Rejected
820,1,Graduate,Yes,8223556,4269895,2,400,19328092,6956530,35279764,11569150,Rejected
821,3,Not Graduate,Yes,9580601,26973445,6,626,241406,1707346,33256614,6982192,Approved
822,1,Graduate,No,5371666,11724533,20,626,23267528,12179151,4146910,5380093,Approved
823,1,Not Graduate,No,7299492,9579821,14,454,7279683,15999108,8015978,1469368,Rejected
824,1,Not Graduate,No,1480280,28908016,2,309,28474529,12135319,2806442,14004347,Rejected
825,5,Graduate,No,7657451,24241524,14,652,4032949,17729214,4502038,10094531,Approved
826,5,Not Graduate,Yes,5746811,10404562,10,482,28183349,12899278,14441640,2681692,Rejected
827,2,Not Graduate,Yes,7327470,6308623,18,754,22644936,9084953,19246658,7103718,Rejected
828,2,Not Graduate,No,3050310,4107374,4,305,28693502,16681560,1530742,3720258,Rejected
829,1,Graduate,Yes,4215789,255647,2,632,14395671,3898459,4574336,3260951,Approved
830,3,Not Graduate,No,5186518,12068953,18,632,16384908,11842080,30112115,12096365,Approved
831,0,Graduate,No,9179666,22854880,16,557,27871149,12592365,10443812,13654929,Approved
832,5,Not Graduate,Yes,3927661,26443926,20,510,25790972,7440401,33547772,12566481,Rejected
833,3,Not Graduate,No,1479372,12142059,12,350,12683202,1377189,7131065,7756631,Rejected
834,4,Graduate,No,4295228,25727657,10,744,928849,12346160,33622354,13463677,Approved
835,5,Not Graduate,Yes,5967034,12561289,16,676,15384232,2260401,28645164,9720983,Approved
836,5,Not Graduate,Yes,9037010,22121628,16,785,21470606,14938219,5098224,3334240,Approved
837,2,Graduate,No,8303292,27882494,10,350,16910613,760780,24687298,644997,Rejected
838,0,Not Graduate,No,2649851,28514218,14,453,29565439,1561523,21584246,9439944,Rejected
839,0,Graduate,Yes,6707552,1854741,2,881,19776986,4020547,36569634,4463032,Approved
840,4,Graduate,No,8870441,1230127,8,609,9772503,10890082,38297044,7422273,Approved
841,4,Graduate,No,1735834,6560284,4,698,4933754,7392786,17492566,12170279,Approved
842,5,Not Graduate,Yes,2642547,12230504,20,433,6358185,15735518,1645004,10598871,Rejected
843,1,Graduate,Yes,1436968,21971949,6,519,24893624,17837159,22187617,2458611,Rejected
844,2,Graduate,Yes,3278882,21801522,2,462,178508,14194507,39751650,4713789,Approved
845,2,Not Graduate,Yes,1721093,17828926,4,868,4361600,8226153,12258931,249850,Approved
846,5,Graduate,Yes,2188022,4407427,2,801,29078186,18378648,4863759,13315753,Approved
847,3,Not Graduate,Yes,5481592,28093524,16,414,18134566,17102267,36202004,10544886,Rejected
848,1,Not Graduate,No,7736381,28305030,8,798,21795814,13157412,39967512,4387008,Approved
849,5,Not Graduate,No,8611159,24616853,6,771,6225473,11712520,12135016,9795178,Approved
850,1,Not Graduate,Yes,3393796,23797559,2,448,22823154,5385346,37720207,13849096,Rejected
851,1,Graduate,Yes,8682216,25082919,4,540,26521523,9083063,23593443,10035562,Rejected
852,1,Graduate,No,8557038,14012274,6,422,11911185,10358041,5500216,3704483,Rejected
853,5,Graduate,No,8875147,20391950,6,368,8131721,15199102,17813145,14973796,Rejected
854,2,Graduate,No,6739108,18174543,12,362,10252280,9876532,21122630,8527316,Rejected
855,2,Graduate,Yes,3249307,13767997,20,315,897039,6568805,29772907,9905680,Rejected
856,1,Not Graduate,Yes,6742683,20888793,16,689,29119868,14291476,8649719,4222097,Approved
857,3,Graduate,No,3001818,9324277,12,889,21363670,1625464,28973333,3355172,Approved
858,0,Graduate,Yes,6119586,25936598,4,557,25606522,18183462,18033384,2307505,Rejected
859,5,Graduate,Yes,4245721,9665817,4,516,14462200,16553167,10255501,8994736,Rejected
860,0,Not Graduate,Yes,2063032,26132121,14,778,11488388,7465622,26640356,13127257,Approved
861,3,Not Graduate,No,5144614,26955869,2,413,9426606,14738908,26674227,14953570,Rejected
862,5,Graduate,No,8052016,21657867,2,679,20699541,6993865,39668215,961290,Approved
863,1,Not Graduate,Yes,7974066,411294,14,536,27566415,19420089,768966,9005584,Rejected
864,2,Graduate,Yes,8070267,15654863,18,775,8267427,4440132,7567382,388121,Approved
865,0,Graduate,Yes,3289809,1713955,10,897,23149584,8333130,7860925,4162407,Approved
866,4,Not Graduate,Yes,8019488,19178564,2,428,13409392,12674972,34544985,12480087,Rejected
867,4,Not Graduate,Yes,1578148,23169575,10,809,27914420,11259316,29612235,3455559,Approved
868,3,Graduate,No,3244410,13972512,2,464,13374831,12861740,588106,9616886,Rejected
869,1,Graduate,Yes,4262118,5134971,20,576,6019705,12303987,15435660,14077302,Rejected
870,0,Not Graduate,Yes,438826,28204750,18,556,8006440,2812833,19459848,13043361,Rejected
871,1,Graduate,Yes,1917354,22155668,8,431,10930657,5364365,28358479,5024536,Rejected
872,0,Not Graduate,No,9339390,29215594,18,869,10043402,215592,4877213,12315910,Approved
873,3,Graduate,No,681809,10357668,4,556,1683054,8964201,4907184,4335412,Rejected
874,3,Not Graduate,Yes,9823440,15927633,14,440,27426370,455241,14592479,2884179,Rejected
875,4,Graduate,No,8462369,21420727,4,508,16620407,4340283,4800481,2479927,Rejected
876,1,Graduate,No,7484390,15735118,8,818,3955727,19714857,4914189,11199700,Approved
877,5,Not Graduate,No,2018182,19945905,12,350,10002196,4076153,26350212,11132467,Rejected
878,4,Graduate,No,4567209,2619379,4,802,23849810,4280242,36664891,798673,Approved
879,1,Graduate,No,8982389,16324667,4,558,3457941,12236490,19452699,8556187,Rejected
880,4,Not Graduate,No,5616797,29363820,4,477,6803231,5573642,2985981,232774,Rejected
881,5,Graduate,Yes,2889290,21125053,6,842,12594181,3742626,26827145,10493403,Approved
882,2,Graduate,No,237180,15459488,10,655,21354221,4696384,3268165,1192465,Approved
883,2,Graduate,No,9222584,23030517,18,617,4133252,5636555,25507169,8894586,Approved
884,2,Not Graduate,Yes,7746691,15563249,12,663,20800452,9297710,5763554,10095627,Rejected
885,2,Not Graduate,Yes,5811544,13912141,18,354,23605669,4049474,14086478,1276358,Rejected
886,0,Not Graduate,Yes,5570015,1268964,20,455,2963185,14077619,4857990,3914470,Rejected
887,2,Graduate,Yes,2451347,6158014,10,343,27584501,3070828,39147270,1109279,Rejected
888,5,Graduate,No,4992030,13854970,12,892,28896241,15272689,12351330,11464384,Approved
889,3,Graduate,No,2819893,26060887,20,841,28246482,14708895,6022215,5897020,Approved
890,3,Graduate,No,6902245,7694968,16,621,28352737,3817935,12405635,8092649,Rejected
891,0,Not Graduate,No,3991860,11721724,6,313,11130623,12321765,26836433,9650601,Approved
892,2,Graduate,Yes,8945662,5991966,4,656,23422619,2774537,8208786,12207467,Approved
893,2,Graduate,No,7596526,22714427,6,782,13582560,18225392,31026119,1442850,Approved
894,2,Graduate,No,2081986,4229295,18,658,14784680,10302375,36604410,6270572,Approved
895,4,Not Graduate,Yes,1189924,24901589,12,617,20218924,1321918,36196836,13562686,Approved
896,1,Graduate,No,2165629,4067924,20,374,4983427,5932686,29430448,13124026,Rejected
897,4,Graduate,No,1303248,4002859,8,890,7735300,16745312,26857565,11025594,Approved
898,1,Graduate,No,8410125,21061953,20,493,29943641,1582246,28662796,13495170,Rejected
899,2,Graduate,No,4463528,7044758,6,662,23826622,9865865,38230295,9672718,Approved
900,2,Graduate,Yes,8415869,21184596,4,395,13369142,6580550,17101163,4783528,Rejected
901,4,Not Graduate,Yes,9618530,29034847,8,339,23702494,17659152,26478281,1183380,Rejected
902,4,Graduate,Yes,8823353,2918710,18,696,27633041,16059246,19845694,7659429,Approved
903,1,Graduate,Yes,3783650,20834316,8,406,5647066,5126031,2426442,778533,Rejected
904,3,Graduate,Yes,2563319,28256826,10,316,10112681,19501389,9176188,1646215,Rejected
905,1,Graduate,No,2018222,9608976,16,826,10260984,13777922,24397794,13462706,Approved
906,4,Graduate,No,5610687,11007408,4,798,8729371,10335851,27397854,14839560,Approved
907,5,Graduate,Yes,8399423,24225615,6,824,26630147,3606877,13774207,9370474,Approved
908,4,Graduate,Yes,763506,16726836,12,342,6435833,13899446,34654366,14066031,Rejected
909,5,Graduate,Yes,8034767,23927633,14,892,28451257,19340642,1010122,8043845,Approved
910,0,Graduate,No,9104337,9283613,8,649,15925132,17229558,2061119,8067802,Approved
911,4,Graduate,Yes,5672646,16368510,2,329,24367084,10213451,3712778,5495440,Rejected
912,0,Not Graduate,No,8451043,20159394,14,740,7906992,4705011,36024679,5691087,Approved
913,3,Not Graduate,No,5245416,13534640,18,841,5620807,2618448,12915507,7518515,Approved
914,1,Not Graduate,No,5473897,22788956,2,754,18196451,5979364,2837006,1541044,Rejected
915,5,Not Graduate,No,554182,13010897,2,393,16486070,438343,36596710,3992635,Rejected
916,1,Graduate,Yes,5342798,1694745,2,594,2017858,18759058,7320552,6173521,Rejected
917,0,Not Graduate,No,2840955,6049782,20,848,16595050,17322435,38018489,5728017,Approved
918,5,Not Graduate,No,2698002,4883877,14,388,3914859,6220686,7158637,14372807,Rejected
919,1,Graduate,Yes,3116585,5402427,18,802,26673320,6366962,29280733,853369,Approved
920,4,Not Graduate,No,1774255,23831254,6,513,7504238,14082873,33928267,8542293,Rejected
921,2,Not Graduate,No,7212022,7447965,16,721,11876556,12799565,6137110,14352297,Approved
922,0,Graduate,No,3979404,26030951,18,825,29805636,13844015,13973106,9553729,Approved
923,1,Graduate,Yes,5747239,22743090,6,491,21182052,14087479,35081368,8959464,Rejected
924,0,Graduate,No,6110122,11057413,6,523,29681714,12413975,4146223,13789335,Rejected
925,0,Not Graduate,No,2969785,6267324,2,854,3363818,3476923,6376433,8764099,Approved
926,5,Not Graduate,Yes,3714078,15811894,4,686,14276712,1307090,22498093,757994,Approved
927,5,Graduate,Yes,6163132,11456782,14,773,29289602,68866,12233528,2595469,Approved
928,2,Graduate,No,2864119,14100031,6,502,6787770,19498634,1553518,711974,Rejected
929,4,Not Graduate,No,9899755,29781417,14,746,2647640,4904844,30971385,5762066,Approved
930,0,Graduate,Yes,2297951,6566138,10,367,27485019,17738545,26158621,3263621,Rejected
931,1,Not Graduate,No,1779889,1468240,20,391,11030315,3097937,18951427,8507311,Rejected
932,3,Graduate,Yes,9127377,5871712,16,477,26267816,15803154,24006020,10416978,Approved
933,0,Graduate,No,487555,5302662,10,858,4433659,13976107,4683780,7462521,Approved
934,0,Not Graduate,Yes,3975944,28204220,6,302,2850540,13133815,30178481,9119871,Approved
935,2,Graduate,No,2944454,11837018,18,402,4413939,435938,30982609,1653340,Rejected
936,4,Graduate,Yes,8996785,16011212,14,572,12196332,3835968,32358963,6764350,Rejected
937,3,Graduate,Yes,3397418,10422670,10,833,26122554,19192127,37096023,7367058,Approved
938,5,Not Graduate,Yes,2988647,2091524,14,415,14093689,14772583,20878390,12588607,Rejected
939,5,Graduate,Yes,6424898,24434302,20,763,17087100,5212428,8550316,8465868,Approved
940,1,Graduate,Yes,6578384,7927327,18,403,20404668,9738565,30743513,878443,Rejected
941,3,Graduate,No,1770497,5268394,10,558,5938485,15238730,9068277,1885848,Rejected
942,5,Graduate,No,934158,20440949,14,607,8289768,11161856,14249136,701230,Approved
943,1,Graduate,Yes,2892205,6786289,18,666,5621495,18365877,2211833,1897639,Approved
944,4,Graduate,No,6359729,29719839,2,601,24431881,3461729,11446981,3766431,Approved
945,1,Not Graduate,No,9393839,25890946,8,859,8166341,16078195,17501485,10747491,Rejected
946,5,Not Graduate,No,1622771,15963045,2,326,14642942,15900835,37509908,1644307,Rejected
947,2,Graduate,No,7145685,19014370,16,807,3974044,16749158,25894829,8407079,Approved
948,2,Not Graduate,No,8418616,8744157,6,826,5843142,18155497,13453924,7156726,Approved
949,2,Not Graduate,No,7929395,10280232,4,664,7942190,9007802,27881732,2176020,Approved
950,5,Graduate,Yes,8476869,29942971,8,597,8135070,15815019,22214243,10986927,Rejected
951,2,Not Graduate,No,2679129,17252210,6,660,10246869,19680276,23709526,3105103,Approved
952,3,Not Graduate,No,1055434,18580091,10,803,14544447,13608933,35657694,7766593,Approved
953,4,Not Graduate,No,508697,7037292,16,887,1453970,14853248,2912828,12898677,Rejected
954,1,Not Graduate,Yes,3915799,21026501,20,329,26434317,13042362,17040760,1134608,Rejected
955,1,Not Graduate,No,4919707,24249034,16,738,13481373,16609051,18800547,9177974,Approved
956,5,Not Graduate,No,7479074,7907604,14,639,12724495,18525382,9382673,2718878,Approved
957,2,Not Graduate,No,8661516,18655866,16,425,18814285,17782379,31584097,9724120,Rejected
958,2,Not Graduate,Yes,6232290,7507293,10,895,2562396,13172232,39741494,8751492,Approved
959,0,Graduate,No,4403726,11914957,20,865,4756888,17452451,21114803,7796171,Rejected
960,4,Graduate,Yes,1042606,2899045,20,665,22188243,11865313,18549168,352230,Approved
961,3,Not Graduate,No,5932452,8392005,12,742,20686657,13814689,19324115,4241092,Approved
962,1,Not Graduate,Yes,7577775,29730768,16,562,6844008,10310943,12697969,6912633,Rejected
963,0,Graduate,Yes,4071549,9657706,2,521,28454594,19078209,22140358,10485787,Rejected
964,0,Not Graduate,Yes,9039023,29865614,12,301,27718245,2230115,14993473,2568635,Rejected
965,5,Not Graduate,No,5835312,28094344,12,693,16524996,11057642,20805645,11906207,Approved
966,1,Graduate,Yes,7924954,27645844,10,605,24963565,14519730,21305591,14902243,Approved
967,5,Graduate,Yes,3899446,6684016,8,445,1225180,1443831,37208433,3966992,Rejected
968,3,Graduate,Yes,4423138,14291351,2,829,10641678,1330393,18112893,14626687,Approved
969,0,Not Graduate,Yes,748723,4768710,20,827,29844497,2139564,34930970,3403333,Approved
